family,K,alpha,breaches,breach_rate,med_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc
CHMM-N,3,0.01,9,0.0157,-4.562,1.618,0.203,2.363,0.124,3.980,0.137
CHMM-N,3,0.05,35,0.0612,-2.872,1.412,0.235,0.011,0.915,1.423,0.491
CHMM-N,18,0.01,9,0.0157,-5.197,1.618,0.203,2.363,0.124,3.980,0.137
CHMM-N,18,0.05,26,0.0455,-3.023,0.256,0.613,0.521,0.471,0.777,0.678
CHMM-t (λ=20.0),3,0.01,8,0.0140,-5.586,0.817,0.366,2.810,0.094,3.627,0.163
CHMM-t (λ=20.0),3,0.05,32,0.0559,-2.734,0.410,0.522,0.774,0.379,1.185,0.553
CHMM-t (λ=20.0),18,0.01,10,0.0175,-6.251,2.645,0.104,1.978,0.160,4.623,0.099
CHMM-t (λ=20.0),18,0.05,29,0.0507,-3.150,0.006,0.939,1.391,0.238,1.397,0.497
CHMM-L,3,0.01,5,0.0087,-5.429,0.096,0.757,4.742,0.029,4.837,0.089
CHMM-L,3,0.05,26,0.0455,-2.617,0.256,0.613,2.226,0.136,2.482,0.289
CHMM-L,18,0.01,9,0.0157,-6.156,1.618,0.203,0.288,0.591,1.906,0.386
CHMM-L,18,0.05,32,0.0559,-2.819,0.410,0.522,0.774,0.379,1.185,0.553
CHMM-GED,3,0.01,7,0.0122,-5.729,0.270,0.603,3.337,0.068,3.608,0.165
CHMM-GED,3,0.05,31,0.0542,-2.544,0.207,0.649,0.958,0.328,1.164,0.559
CHMM-GED,18,0.01,9,0.0157,-6.547,1.618,0.203,2.363,0.124,3.980,0.137
CHMM-GED,18,0.05,25,0.0437,-3.096,0.497,0.481,2.558,0.110,3.055,0.217
