fold,K,alpha,T_train,T_test,breaches,breach_rate,median_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc
W1,3,0.01,1256,251,2,0.0080,-4.0053,0.1125,0.7373,0.0323,0.8575,0.1448,0.9302
W1,3,0.05,1256,251,15,0.0598,-2.4268,0.4751,0.4906,1.1758,0.2782,1.6509,0.4380
W1,18,0.01,1256,251,0,0.0000,-5.0332,5.0453,0.0247,0.0000,1.0000,5.0453,0.0802
W1,18,0.05,1256,251,12,0.0478,-2.6643,0.0257,0.8726,0.3756,0.5400,0.4013,0.8182
W2,3,0.01,1257,252,16,0.0635,-6.5442,32.9284,0.0000,0.8690,0.3512,33.7974,0.0000
W2,3,0.05,1257,252,23,0.0913,-4.5874,7.3412,0.0067,1.7121,0.1907,9.0533,0.0108
W2,18,0.01,1257,252,14,0.0556,-6.6684,25.5909,0.0000,1.5624,0.2113,27.1534,0.0000
W2,18,0.05,1257,252,25,0.0992,-4.5390,10.1126,0.0015,2.5641,0.1093,12.6767,0.0018
W3,3,0.01,1258,251,6,0.0239,-4.4789,3.5270,0.0604,0.2951,0.5870,3.8221,0.1479
W3,3,0.05,1258,251,20,0.0797,-2.4717,3.9757,0.0462,0.3004,0.5836,4.2761,0.1179
W3,18,0.01,1258,251,2,0.0080,-5.5689,0.1125,0.7373,0.0323,0.8575,0.1448,0.9302
W3,18,0.05,1258,251,15,0.0598,-3.1802,0.4751,0.4906,1.1758,0.2782,1.6509,0.4380
W4,3,0.01,1258,250,5,0.0200,-7.9801,1.9568,0.1619,0.2049,0.6508,2.1617,0.3393
W4,3,0.05,1258,250,18,0.0720,-4.1604,2.2555,0.1331,1.9858,0.1588,4.2413,0.1200
W4,18,0.01,1258,250,2,0.0080,-9.6170,0.1084,0.7419,7.4938,0.0062,7.6022,0.0223
W4,18,0.05,1258,250,10,0.0400,-6.6334,0.5634,0.4529,3.8007,0.0512,4.3640,0.1128
W5,3,0.01,1258,249,0,0.0000,-6.0556,5.0051,0.0253,0.0000,1.0000,5.0051,0.0819
W5,3,0.05,1258,249,8,0.0321,-3.8965,1.9067,0.1673,0.5334,0.4652,2.4402,0.2952
W5,18,0.01,1258,249,1,0.0040,-7.0968,1.1644,0.2806,0.0081,0.9283,1.1725,0.5564
W5,18,0.05,1258,249,7,0.0281,-3.8524,2.9633,0.0852,0.4067,0.5237,3.3700,0.1854
W6,3,0.01,1257,251,2,0.0080,-4.6778,0.1125,0.7373,0.0323,0.8575,0.1448,0.9302
W6,3,0.05,1257,251,13,0.0518,-2.8477,0.0168,0.8969,0.1528,0.6959,0.1696,0.9187
W6,18,0.01,1257,251,1,0.0040,-5.8294,1.1886,0.2756,0.0080,0.9286,1.1966,0.5497
W6,18,0.05,1257,251,7,0.0279,-2.9813,3.0548,0.0805,0.4033,0.5254,3.4582,0.1774
