fold,cadence,K,alpha,n_test,breaches,breach_rate,median_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc
W1,fold-IS-fixed,3,0.05,251,15,0.0598,-2.4268,0.4751,0.4906,1.1758,0.2782,1.6509,0.4380
W2,fold-IS-fixed,3,0.05,252,23,0.0913,-4.5874,7.3412,0.0067,1.7121,0.1907,9.0533,0.0108
W3,fold-IS-fixed,3,0.05,251,20,0.0797,-2.4717,3.9757,0.0462,0.3004,0.5836,4.2761,0.1179
W4,fold-IS-fixed,3,0.05,250,18,0.0720,-4.1604,2.2555,0.1331,1.9858,0.1588,4.2413,0.1200
W5,fold-IS-fixed,3,0.05,249,8,0.0321,-3.8965,1.9067,0.1673,0.5334,0.4652,2.4402,0.2952
W6,fold-IS-fixed,3,0.05,251,13,0.0518,-2.8477,0.0168,0.8969,0.1528,0.6959,0.1696,0.9187
W1,21,3,0.05,252,15,0.0595,-2.4096,0.4547,0.5001,1.1857,0.2762,1.6404,0.4403
W1,5,3,0.05,252,15,0.0595,-2.1928,0.4547,0.5001,1.1857,0.2762,1.6404,0.4403
W2,21,3,0.05,253,22,0.0870,-4.6807,6.0175,0.0142,2.1773,0.1401,8.1948,0.0166
W2,5,3,0.05,253,21,0.0830,-4.6809,4.8818,0.0271,2.6850,0.1013,7.5669,0.0227
W3,21,3,0.05,252,22,0.0873,-2.6548,6.0972,0.0135,0.0161,0.8989,6.1134,0.0470
W3,5,3,0.05,252,23,0.0913,-2.6390,7.3412,0.0067,0.0002,0.9902,7.3413,0.0255
W4,21,3,0.05,251,21,0.0837,-4.4112,5.0247,0.0250,2.6427,0.1040,7.6674,0.0216
W4,5,3,0.05,251,19,0.0757,-4.4044,3.0354,0.0815,1.5708,0.2101,4.6062,0.0999
W5,21,3,0.05,250,8,0.0320,-3.5317,1.9441,0.1632,0.5312,0.4661,2.4754,0.2901
W5,5,3,0.05,250,8,0.0320,-3.4828,1.9441,0.1632,0.5312,0.4661,2.4754,0.2901
W6,21,3,0.05,252,14,0.0556,-2.7651,0.1583,0.6907,0.0639,0.8004,0.2222,0.8948
W6,5,3,0.05,252,14,0.0556,-2.7302,0.1583,0.6907,0.0639,0.8004,0.2222,0.8948
